season,episode,title,date,rating, people
S6, E10, The Girl Who Waited,"Sat, Sep 10, 2011",8.4, (7K)

S6, E11, The God Complex,"Sat, Sep 17, 2011",8.0, (6.5K)

S6, E12, Closing Time,"Sat, Sep 24, 2011",7.5, (6.1K)

S6, E13, The Wedding of River Song,"Sat, Oct 1, 2011",8.4, (7.3K)

"S7, E0, "The Doctor, the Widow and the Wardrobe","Sun, Dec 25, 2011",7.1, (6.4K)

S7, E1, Asylum of the Daleks,"Sat, Sep 1, 2012",8.5, (8.2K)

S7, E2, Dinosaurs on a Spaceship,"Sat, Sep 8, 2012",7.2, (6.8K)

S7, E3, A Town Called Mercy,"Sat, Sep 15, 2012",7.2, (6.6K)

S7, E4, The Power of Three,"Sat, Sep 22, 2012",7.4, (6.4K)

S7, E5, The Angels Take Manhattan,"Sat, Sep 29, 2012",8.9, (9K)

S7, E6, The Snowmen,"Tue, Dec 25, 2012",8.3, (7.5K)

S7, E7, The Bells of Saint John,"Sat, Mar 30, 2013",7.8, (6.5K)

S7, E8, The Rings of Akhaten,"Sat, Apr 6, 2013",7.3, (7K)

S7, E9, Cold War,"Sat, Apr 13, 2013",7.1, (6.1K)

S7, E10, Hide,"Sat, Apr 20, 2013",7.6, (6K)

S7, E11, Journey to the Centre of the TARDIS,"Sat, Apr 27, 2013",7.4, (6.1K)

S7, E12, The Crimson Horror,"Sat, May 4, 2013",7.2, (5.8K)

S7, E13, Nightmare in Silver,"Sat, May 11, 2013",7.2, (5.9K)

S7, E14, The Name of the Doctor,"Sat, May 18, 2013",9.0, (8.6K)

S8, E0, The Time of the Doctor,"Wed, Dec 25, 2013",8.4, (7.8K)

S8, E1, Deep Breath,"Sat, Aug 23, 2014",7.8, (8.7K)

S8, E2, Into the Dalek,"Sat, Aug 30, 2014",7.5, (7K)

S8, E3, Robot of Sherwood,"Sat, Sep 6, 2014",6.9, (7.1K)

S8, E4, Listen,"Sat, Sep 13, 2014",8.8, (8.9K)

S8, E5, Time Heist,"Sat, Sep 20, 2014",7.8, (6.7K)

S8, E6, The Caretaker,"Sat, Sep 27, 2014",7.2, (5.9K)

S8, E7, Kill the Moon,"Sat, Oct 4, 2014",6.6, (6.7K)

S8, E8, Mummy on the Orient Express,"Sat, Oct 11, 2014",8.4, (6.7K)

S8, E9, Flatline,"Sat, Oct 18, 2014",8.3, (6.3K)

S8, E10, In the Forest of the Night,"Sat, Oct 25, 2014",6.1, (6.1K)

S8, E11, Dark Water,"Sat, Nov 1, 2014",8.5, (6.6K)

S8, E12, Death in Heaven,"Sat, Nov 8, 2014",7.8, (6.3K)

S9, E0, Last Christmas,"Thu, Dec 25, 2014",8.1, (6.3K)

